"Stationsname","Stationsnummer","Parameter","Zeitreihe","Parametereinheit","Gewässer","Zeitstempel","Zeitpunkt_des_Auftretens","Wert","Freigabestatus"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-05-18 01:00:00","2000-05-18 19:33:05",326.45,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-05-19 01:00:00","2000-05-19 09:03:50",326.459,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-05-20 01:00:00","2000-05-20 01:00:00",326.387,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-05-21 01:00:00","2000-05-21 02:03:20",326.259,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-05-22 01:00:00","2000-05-22 07:12:55",326.368,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-05-23 01:00:00","2000-05-23 02:43:40",326.171,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-05-24 01:00:00","2000-05-24 05:33:35",326.117,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-05-25 01:00:00","2000-05-25 01:33:05",326.034,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-05-26 01:00:00","2000-05-26 01:12:55",326.002,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-05-27 01:00:00","2000-05-27 19:53:15",326.005,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-05-28 01:00:00","2000-05-28 02:53:45",325.944,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-05-29 01:00:00","2000-05-29 23:43:40",326.114,"Freigegeben, validierte Daten"
